node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ATHATPLC1G,VTC4,634085,619377,3702.AT5G58670.1,3702.AT3G02870.1,0,0,0,0,0,0,0.65,0.404,0.782
FPS2,AT2G18620,626239,616016,3702.AT4G17190.1,3702.AT2G18620.1,0,0,0,0,0,0.13,0.65,0.343,0.782
AT4G39170,AT2G01600,628623,614977,3702.AT4G39170.1,3702.AT2G01600.1,0,0,0,0,0,0,0,0.782,0.782
FPS2,AT3G14530,626239,620635,3702.AT4G17190.1,3702.AT3G14530.1,0,0,0,0,0,0.13,0.65,0.343,0.782
SMO1-3,CAS1,626848,615401,3702.AT4G22753.2,3702.AT2G07050.1,0,0,0,0,0.195,0.273,0,0.658,0.782
FPS2,GGPS2,626239,616562,3702.AT4G17190.1,3702.AT2G23800.1,0,0,0,0,0,0.13,0.65,0.343,0.782
AAPT2,PLDALPHA1,621842,620769,3702.AT3G25585.4,3702.AT3G15730.1,0,0,0,0,0,0,0.65,0.403,0.782
FPS1,AT3G29430,632897,622283,3702.AT5G47770.1,3702.AT3G29430.1,0,0,0,0,0,0.13,0.65,0.343,0.782
FPS2,AT3G29430,626239,622283,3702.AT4G17190.1,3702.AT3G29430.1,0,0,0,0,0,0.13,0.65,0.343,0.782
AT5G55070,CSY2,633693,624089,3702.AT5G55070.1,3702.AT3G58750.1,0.145,0,0,0,0.367,0.246,0,0.53,0.782
PSY,CDPMEK,630357,616889,3702.AT5G17230.3,3702.AT2G26930.1,0,0,0,0,0.193,0,0,0.741,0.782
MK,FPS2,631348,626239,3702.AT5G27450.2,3702.AT4G17190.1,0.188,0,0,0,0.13,0,0,0.717,0.782
FPS2,GGPS3,626239,620637,3702.AT4G17190.1,3702.AT3G14550.1,0,0,0,0,0,0.13,0.65,0.343,0.782
KCS20,CYP86A2,632455,624647,3702.AT5G43760.1,3702.AT4G00360.1,0,0,0,0,0.102,0,0,0.768,0.782
FPS1,AT3G20160,632897,621252,3702.AT5G47770.1,3702.AT3G20160.1,0,0,0,0,0,0.13,0.65,0.343,0.782
FPS2,AT3G32040,626239,622375,3702.AT4G17190.1,3702.AT3G32040.1,0,0,0,0,0,0.13,0.65,0.343,0.782
AT4G36080,TPC1,628303,625011,3702.AT4G36080.1,3702.AT4G03560.1,0,0,0,0,0.78,0.048,0,0.045,0.782
FPS2,AT3G20160,626239,621252,3702.AT4G17190.1,3702.AT3G20160.1,0,0,0,0,0,0.13,0.65,0.343,0.782
FPS2,GGPS4,626239,616018,3702.AT4G17190.1,3702.AT2G18640.1,0,0,0,0,0,0.13,0.65,0.343,0.782
GPS1,COQ3,617715,617302,3702.AT2G34630.2,3702.AT2G30920.1,0.062,0,0,0,0.091,0,0,0.765,0.782
FPS1,AT2G18620,632897,616016,3702.AT5G47770.1,3702.AT2G18620.1,0,0,0,0,0,0.13,0.65,0.343,0.782
PI-4KBETA1,AT1G26270,634649,610430,3702.AT5G64070.1,3702.AT1G26270.1,0,0,0,0,0.057,0.057,0,0.774,0.782
OPCL1,AOC4,609902,609158,3702.AT1G20510.1,3702.AT1G13280.1,0,0,0,0,0,0,0,0.781,0.781
LCBK1,LAG13,630949,609189,3702.AT5G23450.3,3702.AT1G13580.3,0,0,0,0,0.058,0,0,0.777,0.781
CCD8,ZDS,627946,619598,3702.AT4G32810.1,3702.AT3G04870.2,0,0,0,0,0,0,0,0.781,0.781
AT5G46630,AT3G24180,632771,621700,3702.AT5G46630.2,3702.AT3G24180.1,0,0,0,0,0.167,0.654,0,0.303,0.781
AT5G49900,AT5G46630,633129,632771,3702.AT5G49900.1,3702.AT5G46630.2,0,0,0,0,0.167,0.654,0,0.303,0.781
DES-1-LIKE,SLD1,625104,624384,3702.AT4G04930.1,3702.AT3G61580.1,0,0,0,0,0,0,0,0.781,0.781
AT4G26910,PHT3;2,627299,623038,3702.AT4G26910.1,3702.AT3G48850.1,0,0,0,0,0.77,0.088,0,0,0.781
AT5G46630,AT4G10060,632771,625420,3702.AT5G46630.2,3702.AT4G10060.1,0,0,0,0,0.167,0.654,0,0.303,0.781
LLG3,PDCB3,627447,609716,3702.AT4G28280.2,3702.AT1G18650.1,0,0,0,0,0,0,0,0.781,0.781
AT5G55070,CSY3,633693,618595,3702.AT5G55070.1,3702.AT2G42790.1,0.145,0,0,0,0.367,0.246,0,0.527,0.781
ATHATPLC1G,PIP5K4,634085,623906,3702.AT5G58670.1,3702.AT3G56960.1,0,0,0,0,0,0.066,0.65,0.384,0.781
GPT1,PPT1,633665,626946,3702.AT5G54800.1,3702.AT4G23660.3,0,0,0,0,0,0,0,0.781,0.781
LPAT2,AT3G44830,623977,622619,3702.AT3G57650.1,3702.AT3G44830.1,0,0,0,0,0,0,0,0.781,0.781
SQD2,ATS2,628751,627699,3702.AT5G01220.1,3702.AT4G30580.1,0,0,0,0,0.044,0.044,0,0.78,0.781
AT5G58784,AT3G20160,634098,621252,3702.AT5G58784.1,3702.AT3G20160.1,0.055,0,0,0,0.363,0.048,0.65,0.077,0.781
PEX4,PEX12,631190,619551,3702.AT5G25760.2,3702.AT3G04460.1,0,0,0,0,0,0.25,0,0.72,0.781
PLC4,PTEN2,634088,621171,3702.AT5G58700.1,3702.AT3G19420.1,0,0,0,0,0,0,0.65,0.402,0.781
PSD1,LPD1,626187,620901,3702.AT4G16700.1,3702.AT3G16950.2,0.058,0,0,0,0.081,0,0,0.766,0.78
ATHATPLC1G,AT1G10900,634085,608902,3702.AT5G58670.1,3702.AT1G10900.1,0,0,0,0,0,0.066,0.65,0.382,0.78
AT3G60060,CER1,624220,607967,3702.AT3G60060.1,3702.AT1G02205.3,0,0,0,0,0,0,0,0.78,0.78
HDR,LYC,628115,620139,3702.AT4G34350.1,3702.AT3G10230.1,0,0,0,0,0.25,0,0,0.719,0.78
JAZ1,LOX3,609771,609594,3702.AT1G19180.1,3702.AT1G17420.1,0,0,0,0,0.41,0,0,0.644,0.78
PIS2,MIPS2,628564,616402,3702.AT4G38570.1,3702.AT2G22240.1,0.19,0,0,0,0,0,0,0.74,0.78
AT4G13050,AT3G02630,625737,619352,3702.AT4G13050.1,3702.AT3G02630.1,0,0,0,0,0.048,0,0.65,0.392,0.779
CER3,CER10,633991,623738,3702.AT5G57800.1,3702.AT3G55360.1,0,0,0,0,0.069,0,0,0.773,0.779
CAC1,WRI1,630268,623629,3702.AT5G16390.1,3702.AT3G54320.1,0,0,0,0,0,0,0,0.779,0.779
cPT5,SQS1,634096,628148,3702.AT5G58780.1,3702.AT4G34640.1,0,0,0,0,0,0.043,0.6,0.471,0.779
PI-4KBETA1,VPS15,634649,627571,3702.AT5G64070.1,3702.AT4G29380.1,0,0,0,0,0.125,0.484,0,0.55,0.779
DGAT2,AAPT1,623328,609187,3702.AT3G51520.1,3702.AT1G13560.1,0,0,0,0,0,0,0,0.779,0.779
NPC6,PLC9,623014,622869,3702.AT3G48610.1,3702.AT3G47220.1,0,0,0,0,0,0,0,0.779,0.779
KASI,FAD3,632736,617205,3702.AT5G46290.3,3702.AT2G29980.1,0,0,0,0,0.123,0,0,0.758,0.779
MRN1,CYP51G1,632317,608984,3702.AT5G42600.1,3702.AT1G11680.1,0,0,0,0,0.194,0.479,0,0.517,0.779
SMO1-3,SQE2,626848,616462,3702.AT4G22753.2,3702.AT2G22830.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
cPT8,GGPS2,634273,616562,3702.AT5G60500.1,3702.AT2G23800.1,0.055,0,0,0,0.354,0.048,0.65,0.077,0.778
SQP2,SMO1-1,631021,625641,3702.AT5G24140.1,3702.AT4G12110.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE3,SMO2-1,628479,608516,3702.AT4G37760.1,3702.AT1G07420.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE6,SMO1-1,631024,625641,3702.AT5G24160.1,3702.AT4G12110.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP1,SMO2-2,631022,617142,3702.AT5G24150.1,3702.AT2G29390.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE3,SMO1-2,628479,626849,3702.AT4G37760.1,3702.AT4G22756.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP1,SMO1-1,631022,625641,3702.AT5G24150.1,3702.AT4G12110.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
AT5G65370,AT2G25430,634794,616733,3702.AT5G65370.1,3702.AT2G25430.1,0,0,0,0,0,0,0,0.778,0.778
AT5G47720,CSY2,632892,624089,3702.AT5G47720.4,3702.AT3G58750.1,0.059,0,0,0,0.056,0.045,0.65,0.37,0.778
SQP2,SMO2-2,631021,617142,3702.AT5G24140.1,3702.AT2G29390.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE6,SMO1-3,631024,626848,3702.AT5G24160.1,3702.AT4G22753.2,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP1,SMO1-3,631022,626848,3702.AT5G24150.1,3702.AT4G22753.2,0.045,0,0,0,0.52,0.327,0,0.368,0.778
LCBK1,AT3G24180,630949,621700,3702.AT5G23450.3,3702.AT3G24180.1,0,0,0,0,0.073,0,0,0.77,0.778
SQE3,SMO1-1,628479,625641,3702.AT4G37760.1,3702.AT4G12110.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE6,SMO2-2,631024,617142,3702.AT5G24160.1,3702.AT2G29390.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SMO2-2,SQE2,617142,616462,3702.AT2G29390.1,3702.AT2G22830.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE2,SMO2-1,616462,608516,3702.AT2G22830.1,3702.AT1G07420.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP2,SMO2-1,631021,608516,3702.AT5G24140.1,3702.AT1G07420.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP2,SMO1-3,631021,626848,3702.AT5G24140.1,3702.AT4G22753.2,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE3,SMO2-2,628479,617142,3702.AT4G37760.1,3702.AT2G29390.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE6,SMO2-1,631024,608516,3702.AT5G24160.1,3702.AT1G07420.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQE6,SMO1-2,631024,626849,3702.AT5G24160.1,3702.AT4G22756.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP1,SMO2-1,631022,608516,3702.AT5G24150.1,3702.AT1G07420.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
AT5G47720,CSY3,632892,618595,3702.AT5G47720.4,3702.AT2G42790.1,0.059,0,0,0,0.056,0.045,0.65,0.37,0.778
SMO1-1,SQE2,625641,616462,3702.AT4G12110.1,3702.AT2G22830.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP2,SMO1-2,631021,626849,3702.AT5G24140.1,3702.AT4G22756.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
SQP1,SMO1-2,631022,626849,3702.AT5G24150.1,3702.AT4G22756.1,0.045,0,0,0,0.52,0.327,0,0.368,0.778
GID1C,GA3OX1,631334,609403,3702.AT5G27320.1,3702.AT1G15550.1,0,0,0,0,0,0,0,0.778,0.778
SQE3,SMO1-3,628479,626848,3702.AT4G37760.1,3702.AT4G22753.2,0.045,0,0,0,0.52,0.327,0,0.368,0.778
ATS2,PLDBETA1,627699,618520,3702.AT4G30580.1,3702.AT2G42010.1,0.058,0,0,0,0,0.086,0.65,0.347,0.777
PSD3,PLDBETA1,627197,618520,3702.AT4G25970.1,3702.AT2G42010.1,0,0,0,0,0,0.048,0.65,0.384,0.777
ARA6,REP,623683,619795,3702.AT3G54840.1,3702.AT3G06540.1,0,0,0,0,0.087,0.545,0,0.507,0.777
ATG18B,PTEN2,627692,621171,3702.AT4G30510.1,3702.AT3G19420.1,0,0,0,0,0,0.765,0,0.09,0.777
PKP-BETA1,G6PD5,633455,622041,3702.AT5G52920.1,3702.AT3G27300.2,0.102,0,0,0,0.06,0,0.6,0.418,0.777
PEN1,CYP51G1,626020,608984,3702.AT4G15340.1,3702.AT1G11680.1,0,0,0,0,0.194,0.479,0,0.513,0.777
ATSAC1B,AT2G01690,634866,614987,3702.AT5G66020.1,3702.AT2G01690.2,0,0,0,0,0.06,0.529,0,0.537,0.777
AT2G44660,AT2G01720,618800,614989,3702.AT2G44660.1,3702.AT2G01720.1,0,0,0,0,0.049,0.732,0,0.196,0.777
DGK6,PLDALPHA1,627431,620769,3702.AT4G28130.1,3702.AT3G15730.1,0,0,0,0,0,0,0.65,0.39,0.777
RHD4,AT2G01690,623322,614987,3702.AT3G51460.1,3702.AT2G01690.2,0,0,0,0,0.06,0.529,0,0.537,0.777
PH1,AT2G01690,617177,614987,3702.AT2G29700.1,3702.AT2G01690.2,0,0,0,0,0,0,0,0.777,0.777
PTEN1,ATG18B,631969,627692,3702.AT5G39400.1,3702.AT4G30510.1,0,0,0,0,0,0.765,0,0.09,0.777
PLDP1,AAPT1,620882,609187,3702.AT3G16785.1,3702.AT1G13560.1,0,0,0,0,0,0,0.65,0.39,0.777
ATS2,PLDP1,627699,620882,3702.AT4G30580.1,3702.AT3G16785.1,0.058,0,0,0,0,0.086,0.65,0.347,0.777
G6PD6,PKP-ALPHA,632113,621558,3702.AT5G40760.1,3702.AT3G22960.1,0.102,0,0,0,0.06,0,0.6,0.418,0.777
PIP5K4,PIP5K3,623906,616836,3702.AT3G56960.1,3702.AT2G26420.1,0,0,0,0.937,0,0.765,0,0.883,0.777
PSD3,PLDP1,627197,620882,3702.AT4G25970.1,3702.AT3G16785.1,0,0,0,0,0,0.048,0.65,0.384,0.777
AT3G54250,CDPMEK,623622,616889,3702.AT3G54250.1,3702.AT2G26930.1,0,0,0,0,0,0,0,0.777,0.777
IPP1,CRTISO,630273,608455,3702.AT5G16440.1,3702.AT1G06820.1,0.19,0,0,0,0,0,0,0.736,0.777
PSD1,PLDP1,626187,620882,3702.AT4G16700.1,3702.AT3G16785.1,0,0,0,0,0,0.049,0.65,0.384,0.777
IPK2BETA,AT5G60760,634408,634302,3702.AT5G61760.1,3702.AT5G60760.1,0,0,0,0,0,0,0,0.777,0.777
SMT1,HMGS,629990,625608,3702.AT5G13710.1,3702.AT4G11820.2,0,0,0,0,0.061,0,0,0.773,0.777
PLDGAMMA1,DGK3,625612,616028,3702.AT4G11850.1,3702.AT2G18730.1,0,0,0,0,0,0,0.65,0.388,0.776
PLDGAMMA3,DGK3,625610,616028,3702.AT4G11840.1,3702.AT2G18730.1,0,0,0,0,0,0,0.65,0.388,0.776
ABI5,E12A11,617890,609663,3702.AT2G36270.1,3702.AT1G18100.1,0,0,0,0,0,0,0,0.776,0.776
DGK4,PLDGAMMA2,633978,625609,3702.AT5G57690.1,3702.AT4G11830.2,0,0,0,0,0,0,0.65,0.388,0.776
PSD1,PLDBETA1,626187,618520,3702.AT4G16700.1,3702.AT2G42010.1,0,0,0,0,0,0.049,0.65,0.383,0.776
DGK7,PLDGAMMA2,627675,625609,3702.AT4G30340.1,3702.AT4G11830.2,0,0,0,0,0,0,0.65,0.388,0.776
DGK4,PLDBETA2,633978,624630,3702.AT5G57690.1,3702.AT4G00240.1,0,0,0,0,0,0,0.65,0.388,0.776
AT3G57170,AT1G08750,623929,608664,3702.AT3G57170.1,3702.AT1G08750.1,0,0,0,0,0.133,0,0,0.753,0.776
AT2G43160,AT2G25430,618635,616733,3702.AT2G43160.1,3702.AT2G25430.1,0,0,0,0,0.158,0.048,0,0.743,0.776
LAS1,ERG28,622650,608806,3702.AT3G45130.1,3702.AT1G10030.1,0,0,0,0,0.071,0.479,0,0.576,0.776
DGK7,PLDGAMMA3,627675,625610,3702.AT4G30340.1,3702.AT4G11840.1,0,0,0,0,0,0,0.65,0.388,0.776
DGK4,PLDGAMMA3,633978,625610,3702.AT5G57690.1,3702.AT4G11840.1,0,0,0,0,0,0,0.65,0.388,0.776
PLDDELTA,ATS2,628272,627699,3702.AT4G35790.1,3702.AT4G30580.1,0.058,0,0,0,0,0.086,0.65,0.345,0.776
PIP5K6,AT2G40116,619945,618307,3702.AT3G07960.1,3702.AT2G40116.1,0,0,0,0,0,0.066,0.65,0.371,0.776
PGI1,PMM,627050,618915,3702.AT4G24620.1,3702.AT2G45790.1,0.19,0,0,0,0.109,0,0,0.715,0.776
DGK7,PLDGAMMA1,627675,625612,3702.AT4G30340.1,3702.AT4G11850.1,0,0,0,0,0,0,0.65,0.388,0.776
PSD3,PLDP2,627197,619687,3702.AT4G25970.1,3702.AT3G05630.1,0,0,0,0,0,0.048,0.65,0.383,0.776
PLDGAMMA2,DGK3,625609,616028,3702.AT4G11830.2,3702.AT2G18730.1,0,0,0,0,0,0,0.65,0.388,0.776
PSD2,PLDP1,633924,620882,3702.AT5G57190.1,3702.AT3G16785.1,0,0,0,0,0,0.048,0.65,0.382,0.776
PLDBETA2,DGK3,624630,616028,3702.AT4G00240.1,3702.AT2G18730.1,0,0,0,0,0,0,0.65,0.388,0.776
DGK4,PLDGAMMA1,633978,625612,3702.AT5G57690.1,3702.AT4G11850.1,0,0,0,0,0,0,0.65,0.388,0.776
DGK7,PLDBETA2,627675,624630,3702.AT4G30340.1,3702.AT4G00240.1,0,0,0,0,0,0,0.65,0.388,0.776
PSD2,PLDBETA1,633924,618520,3702.AT5G57190.1,3702.AT2G42010.1,0,0,0,0,0,0.048,0.65,0.381,0.775
AT5G62080,FAR2,634440,620333,3702.AT5G62080.1,3702.AT3G11980.1,0,0,0,0,0.257,0,0,0.71,0.775
STT3A,HLL,630625,609610,3702.AT5G19690.1,3702.AT1G17560.1,0,0,0,0,0,0.775,0,0,0.775
PLDDELTA,PSD1,628272,626187,3702.AT4G35790.1,3702.AT4G16700.1,0,0,0,0,0,0.049,0.65,0.379,0.775
PSD3,LTA3,627197,623404,3702.AT4G25970.1,3702.AT3G52200.2,0,0,0,0,0.043,0,0,0.775,0.775
FIB,AT2G42130,625034,618530,3702.AT4G04020.1,3702.AT2G42130.4,0,0,0,0,0.103,0,0,0.76,0.775
ITPK1,ITPK4,630308,618726,3702.AT5G16760.1,3702.AT2G43980.1,0,0,0,0.628,0,0,0.65,0.967,0.775
PI-4KBETA1,PLC3,634649,628560,3702.AT5G64070.1,3702.AT4G38530.1,0,0,0,0,0,0.156,0.65,0.296,0.774
NPQ1,CRTISO,608645,608455,3702.AT1G08550.1,3702.AT1G06820.1,0,0,0,0,0.082,0,0,0.764,0.774
SLY2,SLY1,632937,627007,3702.AT5G48170.1,3702.AT4G24210.1,0,0,0,0.783,0,0,0.72,0.903,0.774
AT5G57300,PPT1,633935,626946,3702.AT5G57300.3,3702.AT4G23660.3,0,0,0.202,0,0.045,0,0,0.728,0.774
ATS2,PLDALPHA1,627699,620769,3702.AT4G30580.1,3702.AT3G15730.1,0.058,0,0,0,0,0.086,0.65,0.339,0.774
AT5G47720,SQS1,632892,628148,3702.AT5G47720.4,3702.AT4G34640.1,0,0,0,0,0.149,0.047,0,0.744,0.774
PSD1,PLDP2,626187,619687,3702.AT4G16700.1,3702.AT3G05630.1,0,0,0,0,0,0.049,0.65,0.378,0.774
DIR1,LP1,632973,618136,3702.AT5G48485.1,3702.AT2G38540.1,0,0,0,0,0,0,0,0.774,0.774
ACS,CSY2,631710,624089,3702.AT5G36880.2,3702.AT3G58750.1,0.181,0,0,0,0.453,0.112,0,0.501,0.774
HMG2,CYP51G1,615884,608984,3702.AT2G17370.1,3702.AT1G11680.1,0,0,0,0,0.187,0,0,0.733,0.774
ABI1,NCED3,627210,620626,3702.AT4G26080.1,3702.AT3G14440.1,0,0,0,0,0.252,0,0,0.71,0.773
At4g34190,At2g21970,628096,616373,3702.AT4G34190.1,3702.AT2G21970.1,0,0,0,0,0.144,0,0,0.746,0.773
GA20OX1,BIG,627135,619312,3702.AT4G25420.1,3702.AT3G02260.1,0,0,0,0,0,0,0,0.773,0.773
AT4G02610,ICS2,624904,609739,3702.AT4G02610.1,3702.AT1G18870.1,0.19,0,0,0,0.444,0.177,0,0.462,0.773
TSA2,ICS2,623660,609739,3702.AT3G54640.1,3702.AT1G18870.1,0.19,0,0,0,0.444,0.177,0,0.462,0.773
AT5G55070,AAE5,633693,630266,3702.AT5G55070.1,3702.AT5G16370.1,0.058,0,0,0,0,0,0,0.769,0.773
ABA1,NCED2,634978,626370,3702.AT5G67030.1,3702.AT4G18350.1,0,0,0,0,0,0,0,0.773,0.773
ABA1,ABI5,634978,617890,3702.AT5G67030.1,3702.AT2G36270.1,0,0,0,0,0,0,0,0.773,0.773
MYB29,BAT5,629434,625633,3702.AT5G07690.1,3702.AT4G12030.2,0,0,0,0,0.499,0,0,0.567,0.773
ATS2,LPP1,627699,614935,3702.AT4G30580.1,3702.AT2G01180.1,0.084,0,0,0,0.044,0,0.65,0.344,0.772
AT3G56310,AT3G24180,623840,621700,3702.AT3G56310.1,3702.AT3G24180.1,0,0,0,0,0.132,0,0,0.748,0.772
AT5G46900,AT4G22490,632803,626816,3702.AT5G46900.1,3702.AT4G22490.1,0,0,0,0,0,0,0,0.772,0.772
MGD2,SQD1,630702,627970,3702.AT5G20410.1,3702.AT4G33030.1,0.086,0,0,0,0.17,0,0,0.724,0.772
GRP16,AT1G23240,629417,610198,3702.AT5G07540.1,3702.AT1G23240.1,0,0,0,0,0.438,0,0,0.611,0.772
PNT1,AT3G07140,630807,619858,3702.AT5G22130.2,3702.AT3G07140.1,0,0,0,0,0.092,0.077,0,0.75,0.772
ATHATPLC1G,DGK4,634085,633978,3702.AT5G58670.1,3702.AT5G57690.1,0,0,0,0,0.045,0,0.65,0.373,0.772
PHT3;1,AT4G26910,630026,627299,3702.AT5G14040.1,3702.AT4G26910.1,0,0,0,0,0.761,0.088,0,0,0.772
LUT2,NCED6,633905,621705,3702.AT5G57030.1,3702.AT3G24220.1,0,0,0,0,0,0,0,0.772,0.772
MTACP-1,AT2G04540,618796,615265,3702.AT2G44620.1,3702.AT2G04540.1,0.18,0,0,0,0.093,0.545,0,0.407,0.772
CESA6,SOS5,634723,622797,3702.AT5G64740.1,3702.AT3G46550.1,0,0,0,0,0.054,0.559,0,0.499,0.772
THAS1,CYP51G1,632922,608984,3702.AT5G48010.2,3702.AT1G11680.1,0,0,0,0,0.194,0.479,0,0.501,0.772
mtACP3,AT2G04540,632882,615265,3702.AT5G47630.2,3702.AT2G04540.1,0.18,0,0,0,0.093,0.545,0,0.407,0.772
PRE1,BEE2,632019,628347,3702.AT5G39860.1,3702.AT4G36540.1,0,0,0,0,0.228,0,0,0.717,0.772
FK,RTNLB19,623480,616819,3702.AT3G52940.1,3702.AT2G26260.1,0,0,0,0,0.135,0.466,0,0.544,0.771
DGK2,AT4G26770,634617,627285,3702.AT5G63770.1,3702.AT4G26770.1,0,0,0,0,0.044,0,0.65,0.372,0.771
AT4G26910,CSY2,627299,624089,3702.AT4G26910.1,3702.AT3G58750.1,0.145,0,0,0,0.367,0.246,0,0.507,0.771
GA20OX2,GID1A,633337,619627,3702.AT5G51810.1,3702.AT3G05120.1,0,0,0,0,0,0,0,0.771,0.771
DGK2,CDS2,634617,626802,3702.AT5G63770.1,3702.AT4G22340.3,0,0,0,0,0.044,0,0.65,0.372,0.771
AT4G26910,CSY3,627299,618595,3702.AT4G26910.1,3702.AT2G42790.1,0.145,0,0,0,0.367,0.246,0,0.507,0.771
DGK1,LPAT2,629457,623977,3702.AT5G07920.1,3702.AT3G57650.1,0,0,0,0,0,0,0.65,0.372,0.771
HSD2,BEN1,622876,618872,3702.AT3G47350.2,3702.AT2G45400.1,0,0,0,0,0,0.047,0,0.77,0.771
AT1G26270,AT1G20130,610430,609865,3702.AT1G26270.1,3702.AT1G20130.1,0,0,0,0,0.165,0,0,0.737,0.771
AT3G26070,AT2G42130,621900,618530,3702.AT3G26070.1,3702.AT2G42130.4,0,0,0,0,0.278,0,0,0.696,0.771
PSD2,PLDDELTA,633924,628272,3702.AT5G57190.1,3702.AT4G35790.1,0,0,0,0,0,0.048,0.65,0.368,0.771
NPC4,AAPT1,619449,609187,3702.AT3G03530.1,3702.AT1G13560.1,0,0,0,0,0,0,0.65,0.374,0.771
LCB2,AT3G24180,630970,621700,3702.AT5G23670.1,3702.AT3G24180.1,0,0,0,0,0.045,0,0,0.77,0.77
ACX4,OPR3,623364,615372,3702.AT3G51840.1,3702.AT2G06050.2,0.071,0,0,0,0,0,0,0.762,0.77
AT5G09300,AT3G13930,629565,620566,3702.AT5G09300.1,3702.AT3G13930.1,0.182,0,0.205,0,0.423,0.314,0,0.246,0.77
DGAT2,FaTA,623328,621797,3702.AT3G51520.1,3702.AT3G25110.1,0,0,0,0,0,0,0,0.77,0.77
PLA2-GAMMA,PLP9,627579,624561,3702.AT4G29460.1,3702.AT3G63200.1,0,0,0,0,0,0,0,0.77,0.77
PSD2,PLDP2,633924,619687,3702.AT5G57190.1,3702.AT3G05630.1,0,0,0,0,0,0.048,0.65,0.365,0.77
LCB1,AtIPCS1,628340,623598,3702.AT4G36480.1,3702.AT3G54020.1,0,0,0,0,0.045,0,0,0.769,0.77
PKP-BETA1,G6PD6,633455,632113,3702.AT5G52920.1,3702.AT5G40760.1,0.102,0,0,0,0.06,0,0.6,0.4,0.77
PLC9,NPC4,622869,619449,3702.AT3G47220.1,3702.AT3G03530.1,0,0,0,0,0,0,0,0.77,0.77
CDL1,BSU1,628916,608101,3702.AT5G02800.1,3702.AT1G03445.1,0,0,0,0,0,0.612,0,0.432,0.77
GA20OX3,ATGA2OX3,629381,617706,3702.AT5G07200.1,3702.AT2G34555.1,0,0,0.448,0.713,0,0,0.65,0.886,0.77
CYP86A2,KCS2,624647,608177,3702.AT4G00360.1,3702.AT1G04220.1,0,0,0,0,0.044,0,0,0.77,0.77
MCCB,ACX4,628078,623364,3702.AT4G34030.1,3702.AT3G51840.1,0.189,0,0.212,0,0.386,0,0,0.483,0.77
LCB2,AT4G10060,630970,625420,3702.AT5G23670.1,3702.AT4G10060.1,0,0,0,0,0.045,0,0,0.77,0.77
PAS2,CER4,629694,628051,3702.AT5G10480.3,3702.AT4G33790.1,0,0,0,0,0,0,0,0.77,0.77
LCBK1,AT4G10060,630949,625420,3702.AT5G23450.3,3702.AT4G10060.1,0,0,0,0,0,0,0,0.77,0.77
GA20OX2,GID1B,633337,624540,3702.AT5G51810.1,3702.AT3G63010.1,0,0,0,0,0,0,0,0.77,0.77
AT5G09300,LTA3,629565,623404,3702.AT5G09300.1,3702.AT3G52200.2,0.182,0,0.204,0,0.423,0.314,0,0.246,0.77
ATHATPLC1G,NPC5,634085,619450,3702.AT5G58670.1,3702.AT3G03540.1,0,0,0,0,0,0,0,0.769,0.769
AT5G46630,AT2G43160,632771,618635,3702.AT5G46630.2,3702.AT2G43160.1,0,0,0,0,0.136,0.155,0,0.709,0.769
FPS1,IPT3,632897,624552,3702.AT5G47770.1,3702.AT3G63110.1,0.07,0,0,0,0,0.049,0.6,0.426,0.769
FPS1,IPT6,632897,610390,3702.AT5G47770.1,3702.AT1G25410.1,0.07,0,0,0,0,0.049,0.6,0.426,0.769
DWF1,GA3OX1,621215,609403,3702.AT3G19820.2,3702.AT1G15550.1,0,0,0,0,0,0,0,0.769,0.769
AT3G13930,AT1G21400,620566,609997,3702.AT3G13930.1,3702.AT1G21400.1,0.182,0,0.202,0,0.423,0.314,0,0.246,0.769
AT5G46890,AT4G22490,632802,626816,3702.AT5G46890.1,3702.AT4G22490.1,0,0,0,0,0,0,0,0.769,0.769
