Uniprot ID	RefSeq	Gene ID	Protein Entry 	Protein names
A0A0R0I2L6		GLYMA.09G022100	A0A0R0I2L6_SOYBN	GLTP domain-containing protein
A0A0R0JVD8		GLYMA.05G142800	A0A0R0JVD8_SOYBN	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)
A0A0R0HUL4		GLYMA.11G229900	A0A0R0HUL4_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7LN73		GLYMA.11G055400	K7LN73_SOYBN	Lipase_3 domain-containing protein
I1JMH8		GLYMA.03G101200	I1JMH8_SOYBN	Uncharacterized protein
A0A0R0JVB4		GLYMA.05G142800	A0A0R0JVB4_SOYBN	Alpha-1,3-glucosyltransferase (EC 2.4.1.-)
A0A0R0J895	XP_006582958.1;	GLYMA.07G001300	A0A0R0J895_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
A0A0R0LFR1		GLYMA.01G240700	A0A0R0LFR1_SOYBN	Uncharacterized protein
I1JL08	XP_003522128.1;	GLYMA.03G040000	I1JL08_SOYBN	Non-specific lipid-transfer protein
I1J7M1	XP_003516421.1;	GLYMA.01G130200	I1J7M1_SOYBN	Non-specific lipid-transfer protein
C6SXT1	NP_001236948.1;	GLYMA.09G275500	C6SXT1_SOYBN	Non-specific lipid-transfer protein
K7KCN6	XP_003522081.1;	GLYMA.03G035600	K7KCN6_SOYBN	Non-specific lipid-transfer protein
K7K3K2	XP_006573392.1;	GLYMA.01G130000	K7K3K2_SOYBN	Non-specific lipid-transfer protein
C6TFP9	NP_001240073.1;	GLYMA.03G040100	C6TFP9_SOYBN	Non-specific lipid-transfer protein
C6TFC1	NP_001241144.1;	GLYMA.03G040400	C6TFC1_SOYBN	Non-specific lipid-transfer protein
C6SVW1	NP_001235162.1;	GLYMA.01G132600	C6SVW1_SOYBN	Non-specific lipid-transfer protein
I1JL10	XP_003522131.1;	GLYMA.03G040300	I1JL10_SOYBN	Non-specific lipid-transfer protein
C6SZR9	NP_001236359.1;	GLYMA.09G055100	C6SZR9_SOYBN	Non-specific lipid-transfer protein
C6SWY4	NP_001241103.1;	GLYMA.18G210900	C6SWY4_SOYBN	Non-specific lipid-transfer protein
I1MJG4	XP_003546844.2;	GLYMA.15G265900	I1MJG4_SOYBN	Non-specific lipid-transfer protein
I1JRZ7	XP_003521806.1;	GLYMA.03G257200	I1JRZ7_SOYBN	Non-specific lipid-transfer protein
I1L193	XP_003533715.1;	GLYMA.09G055000	I1L193_SOYBN	Non-specific lipid-transfer protein
A0A0R0FHD6	XP_006600313.1;	GLYMA.17G015200	A0A0R0FHD6_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0FVM4		GLYMA.16G084200	A0A0R0FVM4_SOYBN	Lipase_3 domain-containing protein
I1LPS1	XP_014619943.1;	GLYMA.12G032400	I1LPS1_SOYBN	Uncharacterized protein
I1JRC2	XP_003521704.2;	GLYMA.03G237300	I1JRC2_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7KFH3	XP_003521303.1;XP_006576952.1;	GLYMA.03G165500	K7KFH3_SOYBN	Uncharacterized protein
I1LNE8	XP_003538585.1;	GLYMA.11G244600	I1LNE8_SOYBN	PH domain-containing protein
I1MG65	XP_003546279.1;XP_006597670.1;XP_014623682.1;	GLYMA.15G132500	I1MG65_SOYBN	Fatty acid hydroxylase domain-containing protein
A0A0R0K0B9		GLYMA.05G232700	A0A0R0K0B9_SOYBN	Abhydro_lipase domain-containing protein
I1KT88	XP_003531376.1;	GLYMA.08G140900	I1KT88_SOYBN	ABC1 domain-containing protein
I1MZQ2	XP_003553202.1;	GLYMA.18G052600	I1MZQ2_SOYBN	Uncharacterized protein
I1LPT5	XP_003540895.1;XP_006592072.1;	GLYMA.12G033500	I1LPT5_SOYBN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)
A0A0R0F3V3	XP_006602833.1;	GLYMA.18G239800	A0A0R0F3V3_SOYBN	Glyco_transf_28 domain-containing protein
K7MQP5	XP_014626757.1;	GLYMA.18G085500	K7MQP5_SOYBN	Uncharacterized protein
K7L065		GLYMA.07G071100	K7L065_SOYBN	Uncharacterized protein
I1LBX2		GLYMA.10G172100	I1LBX2_SOYBN	START domain-containing protein
A0A0R0HGN6		GLYMA.11G003400	A0A0R0HGN6_SOYBN	Uncharacterized protein
A0A0R0F2G9	XP_014627545.1;XP_014627546.1;XP_014627547.1;	GLYMA.19G255100	A0A0R0F2G9_SOYBN	Lipase_3 domain-containing protein
I1LIJ8	XP_003538937.1;	GLYMA.11G093400	I1LIJ8_SOYBN	Lipase_3 domain-containing protein
K7MIK8	XP_006599623.1;XP_006599624.1;XP_006599626.1;XP_014624691.1;XP_014624692.1;	GLYMA.16G196700	K7MIK8_SOYBN	Uncharacterized protein
I1NHC0	XP_003556207.1;	GLYMA.20G176900	I1NHC0_SOYBN	Hydrolase_4 domain-containing protein
K7N323	XP_003555265.2;	GLYMA.20G122900	K7N323_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
K7MHJ6	XP_006599998.2;	GLYMA.16G155200	K7MHJ6_SOYBN	Uncharacterized protein
K7L7J9	XP_003531605.1;	GLYMA.08G190400	K7L7J9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1MM66	XP_006599144.1;	GLYMA.16G084200	I1MM66_SOYBN	Lipase_3 domain-containing protein
I1J8G3	XP_003516537.1;	GLYMA.01G162100	I1J8G3_SOYBN	Phospholipase D (EC 3.1.4.4)
C6SX89	NP_001236662.1;XP_006600133.1;XP_006600134.1;	GLYMA.17G140700	C6SX89_SOYBN	Autophagy-related protein
K7KK20	XP_003522914.1;	GLYMA.04G146800	K7KK20_SOYBN	DUF676 domain-containing protein
A0A0R0LF53	XP_006573890.1;	GLYMA.01G240100	A0A0R0LF53_SOYBN	START domain-containing protein
I1LEK1	XP_003536618.1;	GLYMA.10G262800	I1LEK1_SOYBN	Lipase
I1JTH8	XP_014630711.1;	GLYMA.04G037300	I1JTH8_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0KK98	XP_006578566.1;	GLYMA.04G166100	A0A0R0KK98_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7LF69	XP_006587625.1;	GLYMA.09G212100	K7LF69_SOYBN	Uncharacterized protein
K7M9P2	XP_006597335.1;	GLYMA.15G049300	K7M9P2_SOYBN	DUF676 domain-containing protein
A0A0R0L0J7	XP_014621241.1;	GLYMA.02G081000	A0A0R0L0J7_SOYBN	Glyco_transf_28 domain-containing protein
I1MS12	XP_006600421.1;	GLYMA.17G043200	I1MS12_SOYBN	Uncharacterized protein
I1MXQ7	XP_003549405.1;	GLYMA.17G244000	I1MXQ7_SOYBN	Patatin (EC 3.1.1.-)
I1MXA6	XP_003550268.1;	GLYMA.17G228400	I1MXA6_SOYBN	Delta8-sphingolipid desaturase 3
A0A0R0IYV7	XP_003531781.1;	GLYMA.08G225800	A0A0R0IYV7_SOYBN	Terpene cyclase/mutase family member (EC 5.4.99.-)
I1MTS0	XP_003550775.1;	GLYMA.17G098300	I1MTS0_SOYBN	ABC transporter domain-containing protein
K7LF40	XP_006587604.1;	GLYMA.09G207500	K7LF40_SOYBN	Uncharacterized protein
I1JU36	XP_003522322.1;	GLYMA.04G057800	I1JU36_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1MC28	XP_003545028.1;	GLYMA.14G220000	I1MC28_SOYBN	Uncharacterized protein
I1KXN1	XP_003530670.1;	GLYMA.08G293900	I1KXN1_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LCH2	XP_006589327.1;	GLYMA.10G192400	I1LCH2_SOYBN	Non-lysosomal glucosylceramidase (NLGase) (EC 3.2.1.45)
A0A0R0F3M6		GLYMA.18G239800	A0A0R0F3M6_SOYBN	Glyco_transf_28 domain-containing protein
K7KIZ9	XP_003523761.1;XP_006578250.1;XP_006578251.1;	GLYMA.04G088300	K7KIZ9_SOYBN	DUF676 domain-containing protein
I1JQQ7	XP_003520748.1;	GLYMA.03G218400	I1JQQ7_SOYBN	Lipase_3 domain-containing protein
I1N8Q3	XP_003554113.1;	GLYMA.19G128600	I1N8Q3_SOYBN	Pyruvate carboxyltransferase domain-containing protein
I1LWP4	XP_003543883.1;	GLYMA.13G059300	I1LWP4_SOYBN	Sacchrp_dh_NADP domain-containing protein
K7KED0	XP_003520425.1;	GLYMA.03G110600	K7KED0_SOYBN	Lipase_3 domain-containing protein
C6TCK7	NP_001241265.1;XP_006579468.1;	GLYMA.05G058300	C6TCK7_SOYBN	Autophagy-related protein
K7MTS2	XP_006602698.1;	GLYMA.18G211900	K7MTS2_SOYBN	Uncharacterized protein
K7MLJ7	XP_006600833.1;	GLYMA.17G139200	K7MLJ7_SOYBN	PH domain-containing protein
I1MTE2	XP_003549608.1;	GLYMA.17G086400	I1MTE2_SOYBN	Uncharacterized protein
I1KLS7	XP_003528482.1;	GLYMA.07G204900	I1KLS7_SOYBN	Lipase_3 domain-containing protein
I1NCU0	XP_003554800.1;	GLYMA.19G263300	I1NCU0_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1K5T2	XP_014631379.1;	GLYMA.05G232700	I1K5T2_SOYBN	Abhydro_lipase domain-containing protein
I1JK82		GLYMA.03G009100	I1JK82_SOYBN	Post-GPI attachment to proteins factor 3
I1L999	XP_003535402.1;	GLYMA.10G068700	I1L999_SOYBN	Uncharacterized protein
K7K183	XP_003516958.1;XP_014621919.1;	GLYMA.01G014200	K7K183_SOYBN	Glycerol-3-phosphate acyltransferase, chloroplastic (GPAT) (EC 2.3.1.15)
I1JE38	XP_003518724.1;	GLYMA.02G106700	I1JE38_SOYBN	Fatty acid hydroxylase domain-containing protein
K7KY45	XP_003527438.1;	GLYMA.06G294800	K7KY45_SOYBN	Lipase_GDSL domain-containing protein
I1JP48	XP_003521298.1;	GLYMA.03G164400	I1JP48_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Ribophorin-2)
I1JZA1	XP_003523465.1;	GLYMA.04G253000	I1JZA1_SOYBN	PH domain-containing protein
I1K4K8	XP_003525063.1;	GLYMA.05G180100	I1K4K8_SOYBN	Acyl-coenzyme A oxidase
I1LR32	XP_003539757.1;	GLYMA.12G075100	I1LR32_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
K7MJ29	XP_006599738.1;	GLYMA.16G220100	K7MJ29_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1JF44	XP_003518892.1;	GLYMA.02G141900	I1JF44_SOYBN	Lipase_3 domain-containing protein
I1K4P3	XP_003525072.1;	GLYMA.05G183100	I1K4P3_SOYBN	ABC1 domain-containing protein
A0A0R0EDH8	XP_006606167.1;	GLYMA.20G167900	A0A0R0EDH8_SOYBN	Glyco_transf_28 domain-containing protein
I1KV32	XP_003531652.1;	GLYMA.08G201900	I1KV32_SOYBN	Uncharacterized protein
A0A0R0EPM4		GLYMA.20G248000	A0A0R0EPM4_SOYBN	Lipase_3 domain-containing protein
I1KUQ6	XP_014634584.1;	GLYMA.08G189800	I1KUQ6_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7MNQ9	XP_006601293.1;	GLYMA.17G244200	K7MNQ9_SOYBN	Patatin (EC 3.1.1.-)
A0A0R0F3P8		GLYMA.18G239800	A0A0R0F3P8_SOYBN	Glyco_transf_28 domain-containing protein
K7L099	XP_003528880.1;	GLYMA.07G076800	K7L099_SOYBN	Uncharacterized protein
I1NE47		GLYMA.20G053700	I1NE47_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1LWR8	XP_003543944.1;	GLYMA.13G057400	I1LWR8_SOYBN	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
K7LL44	XP_006589557.1;	GLYMA.10G238100	K7LL44_SOYBN	Uncharacterized protein
A0A0R0KBP4		GLYMA.04G110300	A0A0R0KBP4_SOYBN	GP-PDE domain-containing protein
I1LI58	XP_006590738.1;	GLYMA.11G081500	I1LI58_SOYBN	Phospholipase D (EC 3.1.4.4)
I1KM88	XP_003529428.1;	GLYMA.07G221800	I1KM88_SOYBN	Uncharacterized protein
A0A0R0HV89		GLYMA.10G183200	A0A0R0HV89_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
K7KFH9		GLYMA.03G165500	K7KFH9_SOYBN	Uncharacterized protein
I1JEQ6	XP_003518822.2;	GLYMA.02G129500	I1JEQ6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7KHM5		GLYMA.04G017300	K7KHM5_SOYBN	SSD domain-containing protein
I1J4P2	XP_014621544.1;	GLYMA.01G012800	I1J4P2_SOYBN	Lipase_3 domain-containing protein
A0A0R0F3U6		GLYMA.18G243500	A0A0R0F3U6_SOYBN	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
A0A0R0H670	XP_006594844.2;	GLYMA.13G295100	A0A0R0H670_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0FN28		GLYMA.16G084200	A0A0R0FN28_SOYBN	Lipase_3 domain-containing protein
A0A0R0J1Z1		GLYMA.07G010900	A0A0R0J1Z1_SOYBN	Phospholipase D (EC 3.1.4.4)
I1JYI4	XP_003523319.1;	GLYMA.04G228700	I1JYI4_SOYBN	START domain-containing protein
I1N7A3	XP_003553849.1;	GLYMA.19G070900	I1N7A3_SOYBN	Lipase
K7KU16	XP_014631753.1;XP_014631754.1;	GLYMA.06G089100	K7KU16_SOYBN	DUF676 domain-containing protein
A0A0R0GLL7	XP_014622062.1;	GLYMA.14G059400	A0A0R0GLL7_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1LQP7	XP_003539669.1;	GLYMA.12G062400	I1LQP7_SOYBN	Uncharacterized protein
A0A0R0H0F4		GLYMA.12G028200	A0A0R0H0F4_SOYBN	Uncharacterized protein
I1JI89	XP_006575538.1;	GLYMA.02G257100	I1JI89_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7N5J1	XP_014628313.1;	GLYMA.20G248000	K7N5J1_SOYBN	Lipase_3 domain-containing protein
A0A0R0EFI1		GLYMA.20G238000	A0A0R0EFI1_SOYBN	Phospholipase (EC 3.1.4.4)
I1KIH0	XP_006583340.1;	GLYMA.07G076800	I1KIH0_SOYBN	Uncharacterized protein
I1NE22	XP_003555442.1;	GLYMA.20G048400	I1NE22_SOYBN	MlaD domain-containing protein
A0A0R0IW53	XP_006586183.1;	GLYMA.08G335200	A0A0R0IW53_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1LAZ4	XP_003536026.1;XP_006589102.1;	GLYMA.10G143500	I1LAZ4_SOYBN	Uncharacterized protein
I1K583	XP_003524332.1;	GLYMA.05G248800	I1K583_SOYBN	Uncharacterized protein
I1JSS2	XP_003523003.1;	GLYMA.04G015300	I1JSS2_SOYBN	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1
K7MK17	XP_003550622.1;	GLYMA.17G051300	K7MK17_SOYBN	Uncharacterized protein
I1K6Z2	XP_003526969.1;	GLYMA.06G003700	I1K6Z2_SOYBN	Uncharacterized protein
I1M6B9	XP_003544516.1;	GLYMA.14G009700	I1M6B9_SOYBN	Neutral ceramidase (EC 3.5.1.23)
C6TBA0	NP_001276299.1;	GLYMA.02G081100	C6TBA0_SOYBN	S5A_REDUCTASE domain-containing protein
I1MQU8		GLYMA.17G003000	I1MQU8_SOYBN	START domain-containing protein
I1K245		GLYMA.05G093000	I1K245_SOYBN	Uncharacterized protein
I1KML6	XP_003529496.1;XP_014633687.1;	GLYMA.07G235400	I1KML6_SOYBN	Pyruvate carboxyltransferase domain-containing protein
I1NJ06	XP_003556514.1;	GLYMA.20G235500	I1NJ06_SOYBN	ACB domain-containing protein
K7LPI4	XP_003537949.1;	GLYMA.11G130300	K7LPI4_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0KV40		GLYMA.03G237300	A0A0R0KV40_SOYBN	Lipoxygenase (EC 1.13.11.-)
K7MIM6	XP_003549124.1;	GLYMA.16G199100	K7MIM6_SOYBN	Post-GPI attachment to proteins factor 3
A0A0R0I2G5		GLYMA.10G174700	A0A0R0I2G5_SOYBN	SMP-LTD domain-containing protein
K7K7L0	XP_003520073.1;XP_014621844.1;	GLYMA.02G106300	K7K7L0_SOYBN	Cytochrome b5 heme-binding domain-containing protein
K7MCV9	XP_003545723.1;	GLYMA.15G215400	K7MCV9_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LAZ3		GLYMA.10G143500	I1LAZ3_SOYBN	Uncharacterized protein
I1MNW8		GLYMA.16G155200	I1MNW8_SOYBN	START domain-containing protein
A0A0R4J5I6	XP_014624859.1;	GLYMA.17G003000	A0A0R4J5I6_SOYBN	START domain-containing protein
I1KQ61		GLYMA.08G041800	I1KQ61_SOYBN	Uncharacterized protein
C6SXK7	NP_001236253.1;	GLYMA.02G281400	C6SXK7_SOYBN	Uncharacterized protein
I1KHC6	XP_003528556.1;	GLYMA.07G039900	I1KHC6_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1N3V4	XP_003551674.1;	GLYMA.18G238500	I1N3V4_SOYBN	DAGKc domain-containing protein
A0A0R0J3V2	XP_006583020.1;	GLYMA.07G010900	A0A0R0J3V2_SOYBN	Phospholipase D (EC 3.1.4.4)
K7LJN9	XP_003536101.1;	GLYMA.10G158500	K7LJN9_SOYBN	Acyl carrier protein
I1JWX8	XP_003522337.1;	GLYMA.04G173000	I1JWX8_SOYBN	ABC transporter domain-containing protein
I1MW41	XP_003551087.1;	GLYMA.17G183700	I1MW41_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
A0A0R0F6X0		GLYMA.18G062000	A0A0R0F6X0_SOYBN	Uncharacterized protein
A0A0R0J1U1		GLYMA.07G007700	A0A0R0J1U1_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7L9P6		GLYMA.08G293900	K7L9P6_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1NEU4	XP_003555776.1;XP_006605777.1;	GLYMA.20G092000	I1NEU4_SOYBN	Uncharacterized protein
I1KS01	XP_003531186.1;	GLYMA.08G102900	I1KS01_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1KB13	XP_003526760.1;	GLYMA.06G136200	I1KB13_SOYBN	START domain-containing protein
K7K516	XP_006573727.1;	GLYMA.01G210600	K7K516_SOYBN	PH domain-containing protein
I1MR37	XP_006600236.1;XP_014624820.1;	GLYMA.17G011500	I1MR37_SOYBN	Uncharacterized protein
A0A0R0J1U5		GLYMA.07G114200	A0A0R0J1U5_SOYBN	Uncharacterized protein
I1MGP9	XP_003546373.1;	GLYMA.15G152700	I1MGP9_SOYBN	Uncharacterized protein
I1KAL1	XP_003526681.1;	GLYMA.06G124000	I1KAL1_SOYBN	GLTP domain-containing protein
I1LTU1	XP_014620488.1;	GLYMA.12G183300	I1LTU1_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
K7LUC2	XP_003539948.1;	GLYMA.12G119900	K7LUC2_SOYBN	Uncharacterized protein
A0A0R0LGN3	XP_014630788.1;	GLYMA.01G147800	A0A0R0LGN3_SOYBN	Uncharacterized protein
C6T5H2	NP_001237731.1;XP_006577798.1;	GLYMA.04G239900	C6T5H2_SOYBN	GLTP domain-containing protein
I1K5D5		GLYMA.05G245000	I1K5D5_SOYBN	S5A_REDUCTASE domain-containing protein
I1JIH6	XP_006575571.1;	GLYMA.02G267100	I1JIH6_SOYBN	Lipase
A0A0R0EM24		GLYMA.20G167900	A0A0R0EM24_SOYBN	Glyco_transf_28 domain-containing protein
A0A0R0FHG0	XP_003552717.1;	GLYMA.18G294200	A0A0R0FHG0_SOYBN	AAI domain-containing protein
I1KJZ4	XP_003529097.1;	GLYMA.07G132900	I1KJZ4_SOYBN	Uncharacterized protein
I1KHV8	XP_003528793.2;	GLYMA.07G056300	I1KHV8_SOYBN	Uncharacterized protein
I1MG30	XP_003546255.1;	GLYMA.15G129700	I1MG30_SOYBN	Uncharacterized protein
A0A0R0IPS0	XP_014634618.1;	GLYMA.08G202000	A0A0R0IPS0_SOYBN	START domain-containing protein
K7MPJ5	XP_006601952.1;	GLYMA.18G027200	K7MPJ5_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
A0A0R0L456		GLYMA.02G304100	A0A0R0L456_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1LDM1	NP_001334604.1;	GLYMA.10G231200	I1LDM1_SOYBN	Fatty acid hydroxylase domain-containing protein
I1MUI4	XP_003549818.1;	GLYMA.17G123800	I1MUI4_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1MZ22	XP_003552358.1;	GLYMA.18G027200	I1MZ22_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
C6T013	NP_001237161.1;	GLYMA.01G234900	C6T013_SOYBN	AAI domain-containing protein
I1NE46	XP_003555640.1;	GLYMA.20G053700	I1NE46_SOYBN	Lipoxygenase (EC 1.13.11.-)
A0A0R0KQB8		GLYMA.03G165500	A0A0R0KQB8_SOYBN	Uncharacterized protein
I1NDE0	XP_003556329.1;	GLYMA.20G020800	I1NDE0_SOYBN	Uncharacterized protein
I1NI71	XP_003556374.1;XP_014628394.1;	GLYMA.20G207000	I1NI71_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
K7LFU4	XP_003533565.1;	GLYMA.09G243100	K7LFU4_SOYBN	Lipase_3 domain-containing protein
K7L3W0	XP_014633741.1;XP_014633742.1;	GLYMA.07G259000	K7L3W0_SOYBN	Patatin (EC 3.1.1.-)
K7MJ28	XP_006599736.1;XP_006599737.1;	GLYMA.16G220100	K7MJ28_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
A0A0R0J6J1		GLYMA.07G070600	A0A0R0J6J1_SOYBN	Post-GPI attachment to proteins factor 3
C6SZF0	NP_001235108.1;	GLYMA.09G181100	C6SZF0_SOYBN	AAI domain-containing protein
I1JAE7	XP_006573812.1;XP_006573814.1;XP_014632659.1;	GLYMA.01G226000	I1JAE7_SOYBN	Lipase_3 domain-containing protein
A0A0R0H2Z3	XP_006592297.1;	GLYMA.12G084000	A0A0R0H2Z3_SOYBN	Uncharacterized protein
I1KGN5	XP_003529763.1;	GLYMA.07G019500	I1KGN5_SOYBN	Uncharacterized protein
I1LXM9	XP_003542175.1;	GLYMA.13G007200	I1LXM9_SOYBN	ABC1 domain-containing protein
A0A0R0J6J3		GLYMA.07G070600	A0A0R0J6J3_SOYBN	Post-GPI attachment to proteins factor 3
I1L840	XP_003536529.1;	GLYMA.10G026800	I1L840_SOYBN	Patatin (EC 3.1.1.-)
I1LPN5	XP_003540822.1;	GLYMA.12G030600	I1LPN5_SOYBN	PLCXc domain-containing protein
I1LC78		GLYMA.10G183200	I1LC78_SOYBN	Phosphatidate cytidylyltransferase (EC 2.7.7.41)
K7L1X8	XP_014633510.1;	GLYMA.07G154200	K7L1X8_SOYBN	Uncharacterized protein
A0A0R0INW2		GLYMA.08G184900	A0A0R0INW2_SOYBN	Patatin (EC 3.1.1.-)
I1JW76	XP_003522916.1;	GLYMA.04G149300	I1JW76_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
K7M7F7	XP_006596305.1;XP_014622641.1;	GLYMA.14G164600	K7M7F7_SOYBN	PH domain-containing protein
I1KPK6	XP_003530400.1;XP_006584764.1;	GLYMA.08G023400	I1KPK6_SOYBN	Lipase_3 domain-containing protein
K7KIZ3	XP_003523759.2;	GLYMA.04G087400	K7KIZ3_SOYBN	DUF676 domain-containing protein
A0A0R0KKG1	XP_006576359.1;	GLYMA.03G016600	A0A0R0KKG1_SOYBN	Uncharacterized protein
I1MZ23	XP_006601953.1;	GLYMA.18G027300	I1MZ23_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
K7KWB8	XP_006582044.1;	GLYMA.06G208900	K7KWB8_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
K7N0V5	XP_006605513.1;	GLYMA.20G020800	K7N0V5_SOYBN	Uncharacterized protein
K7LMS0	XP_014619278.1;	GLYMA.11G031400	K7LMS0_SOYBN	PH domain-containing protein
I1N272	XP_006602508.1;	GLYMA.18G167300	I1N272_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1M240	XP_003541736.1;	GLYMA.13G239000	I1M240_SOYBN	Lipoxygenase (EC 1.13.11.-)
I1LVW7	XP_003542310.1;	GLYMA.13G091200	I1LVW7_SOYBN	Uncharacterized protein
I1K772	XP_006581119.1;	GLYMA.06G012500	I1K772_SOYBN	3-ketoacyl-CoA synthase (EC 2.3.1.-)
I1K702	XP_003527014.1;	GLYMA.06G004800	I1K702_SOYBN	PLCXc domain-containing protein
I1K497	XP_003524234.1;	GLYMA.05G168300	I1K497_SOYBN	Phospholipase D (EC 3.1.4.4)
I1JE00	XP_003520058.1;	GLYMA.02G102700	I1JE00_SOYBN	Uncharacterized protein
I1KHL1	XP_003528750.1;	GLYMA.07G047400	I1KHL1_SOYBN	S5A_REDUCTASE domain-containing protein
A0A0R0KJU3	XP_003520570.2;	GLYMA.03G154200	A0A0R0KJU3_SOYBN	Patatin (EC 3.1.1.-)
K7MM51	XP_014625034.1;	GLYMA.17G172700	K7MM51_SOYBN	Uncharacterized protein
I1MZ21	XP_003552353.1;	GLYMA.18G027100	I1MZ21_SOYBN	Phosphoinositide phospholipase C (EC 3.1.4.11)
I1LYD2	XP_003541325.1;XP_006593980.1;	GLYMA.13G116700	I1LYD2_SOYBN	Uncharacterized protein
I1NC05	XP_006604826.1;	GLYMA.19G236200	I1NC05_SOYBN	Mevalonate kinase (MK) (EC 2.7.1.36)
K7KL76	XP_003522440.1;	GLYMA.04G197400	K7KL76_SOYBN	Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.-)
I1KIB1	XP_006583300.1;	GLYMA.07G071100	I1KIB1_SOYBN	Uncharacterized protein
I1LKT9	XP_003538131.1;	GLYMA.11G185300	I1LKT9_SOYBN	Fatty acyl-CoA reductase (EC 1.2.1.84)
A0A0R0IUJ6		GLYMA.08G184900	A0A0R0IUJ6_SOYBN	Patatin (EC 3.1.1.-)
I1LGN9	XP_003538764.1;XP_006590562.1;XP_014619280.1;	GLYMA.11G031800	I1LGN9_SOYBN	Autophagy-related protein
A0A0R0INT2		GLYMA.08G183400	A0A0R0INT2_SOYBN	DUF676 domain-containing protein
I1J9W7	XP_003517425.1;XP_006573724.1;XP_006573725.1;	GLYMA.01G210200	I1J9W7_SOYBN	Autophagy-related protein
A0A0R0KAK4		GLYMA.04G054100	A0A0R0KAK4_SOYBN	Uncharacterized protein
I1LY75	XP_003542366.1;	GLYMA.13G111700	I1LY75_SOYBN	Ubiquinone biosynthesis protein
I1M1V1	XP_003541709.1;	GLYMA.13G231100	I1M1V1_SOYBN	Lipase_3 domain-containing protein
I1LPT9	XP_006592073.1;	GLYMA.12G033500	I1LPT9_SOYBN	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (EC 2.7.8.11)
I1M928	XP_003544536.1;	GLYMA.14G095400	I1M928_SOYBN	Cytochrome b5 heme-binding domain-containing protein
A0A0R0KFD7		GLYMA.04G144900	A0A0R0KFD7_SOYBN	Phospholipid-transporting ATPase (EC 7.6.2.1)
I1LSU8	XP_003541057.1;	GLYMA.12G160400	I1LSU8_SOYBN	Uncharacterized protein
A0A0R0GS00	XP_003543818.1;	GLYMA.13G076400	A0A0R0GS00_SOYBN	Neutral ceramidase (EC 3.5.1.23)
I1KUQ3	XP_003531597.1;	GLYMA.08G189500	I1KUQ3_SOYBN	Lipoxygenase (EC 1.13.11.-)
