A0A068FL09	AT2G46480.1
F4JIN8	AT4G21200.3
F4JIN9	AT4G21200.1
F4JIN9	AT4G21200.2
F4JIN9	AT4G21200.3
F4JIP6	AT4G21220.1
F4JJE0	AT4G15130.1
F4JJE3	AT4G15160.1
F4JJE3	AT4G15160.2
F4JJE4	AT4G15160.1
F4JJE4	AT4G15160.2
F4JJK1	AT4G21540.3
F4JJK1	AT4G21540.1
F4JJK1	AT4G21540.2
F4JJK1	AT4G21540.3
F4JK83	AT4G15755.1
F4JKI3	AT4G28130.1
F4JKK0	AT4G34100.1
F4JKK0	AT4G34100.2
F4JKK0	AT4G34100.2
F4JKN4	AT4G34310.1
F4JKN4	AT4G34310.2
F4JKN4	AT4G34310.7
F4JKN4	AT4G34310.8
F4JKN4	AT4G34310.9
F4JKN4	AT4G34310.4
F4JKN4	AT4G34310.5
F4JKN4	AT4G34310.6
F4JKN4	AT4G34310.10
F4JKN4	AT4G34310.3
F4JKN5	AT4G34310.1
F4JKN5	AT4G34310.2
F4JKN5	AT4G34310.7
F4JKN5	AT4G34310.8
F4JKN5	AT4G34310.9
F4JKN5	AT4G34310.4
F4JKN5	AT4G34310.5
F4JKN5	AT4G34310.6
F4JKN5	AT4G34310.10
F4JKN5	AT4G34310.3
F4JKS6	AT4G09760.1
F4JKS6	AT4G09760.2
F4JKS6	AT4G09760.3
F4JKS6	AT4G09760.4
F4JL00	AT4G16070.1
F4JL00	AT4G16070.2
F4JL00	AT4G16070.3
F4JL01	AT4G16070.1
F4JL01	AT4G16070.2
F4JL01	AT4G16070.3
F4JL60	AT4G22340.1
F4JL60	AT4G22340.3
F4JL60	AT4G22340.2
F4JL62	AT4G22340.1
F4JL62	AT4G22340.3
F4JL62	AT4G22340.2
F4JL89	AT4G28395.1
F4JLE5	AT4G34580.1
F4JLE5	AT4G34580.2
F4JLJ2	AT4G10060.1
F4JLJ2	AT4G10060.2
F4JLP5	AT4G16155.1
F4JLV4	AT4G22470.1
F4JLV7	AT4G22505.1
F4JLZ6	AT4G22755.1
F4JMK8	AT4G16760.1
F4JMK8	AT4G16760.1
F4JMK8	AT4G16760.2
F4JN67	AT4G10950.1
F4JN67	AT4G10950.2
F4JNF1	AT4G17190.1
F4JNF1	AT4G17190.2
F4JNF1	AT4G17190.3
F4JNU6	AT4G35790.1
F4JNU6	AT4G35790.3
F4JNU6	AT4G35790.2
F4JP46	AT4G17360.1
F4JP46	AT4G17360.2
F4JP46	AT4G17360.3
F4JP88	AT4G17615.1
F4JP88	AT4G17615.2
F4JP88	AT4G17615.3
F4JP88	AT4G17615.4
F4JP88	AT4G17615.5
F4JP95	AT4G17650.1
F4JP95	AT4G17650.1
F4JPA9	AT4G23660.1
F4JPA9	AT4G23660.2
F4JPA9	AT4G23660.3
F4JPA9	AT4G23660.4
F4JPA9	AT4G23660.5
F4JPL0	AT4G36080.1
F4JPL0	AT4G36080.2
F4JPL0	AT4G36080.3
F4JPL1	AT4G36080.1
F4JPL1	AT4G36080.2
F4JPL1	AT4G36080.3
F4JPL2	AT4G36080.1
F4JPL2	AT4G36080.2
F4JPL2	AT4G36080.3
F4JPW1	AT4G12030.1
F4JPW1	AT4G12030.2
F4JPW1	AT4G12030.1
F4JPW1	AT4G12030.3
F4JPW1	AT4G12030.4
F4JPW1	AT4G12030.5
F4JQ50	AT4G24160.1
F4JQ50	AT4G24160.2
F4JQ95	AT4G30340.1
F4JQ95	AT4G30340.2
F4JQB6	AT4G30510.1
F4JQB6	AT4G30510.2
F4JQJ7	AT4G36945.1
F4JQJ7	AT4G36945.1
F4JR91	AT4G37060.1
F4JR91	AT4G37060.2
F4JRT7	AT4G25050.1
F4JRT7	AT4G25050.2
F4JSC9	AT4G18970.1
F4JSC9	AT4G18970.2
F4JSE7	AT4G19040.1
F4JSE7	AT4G19040.2
F4JSE7	AT4G19040.3
F4JSE7	AT4G19040.2
F4JSE7	AT4G19040.3
F4JTE7	AT4G25840.1
F4JTE8	AT4G25850.1
F4JTE8	AT4G25850.2
F4JTE8	AT4G25850.3
F4JTJ2	AT4G32160.1
F4JTR2	AT4G38570.1
F4JTR2	AT4G38570.2
F4JTR2	AT4G38570.3
F4JTR2	AT4G38570.4
F4JUN0	AT4G14210.1
F4JUN0	AT4G14210.2
F4JUN0	AT4G14210.2
F4JUN0	AT4G14210.3
F4JUT8	AT4G20260.1
F4JUT8	AT4G20260.3
F4JUT8	AT4G20260.4
F4JUT8	AT4G20260.2
F4JUT8	AT4G20260.5
F4JUT8	AT4G20260.6
F4JUT8	AT4G20260.10
F4JUT8	AT4G20260.4
F4JUT8	AT4G20260.7
F4JUT8	AT4G20260.8
F4JUT8	AT4G20260.9
F4JUT9	AT4G20260.1
F4JUT9	AT4G20260.3
F4JUT9	AT4G20260.4
F4JUT9	AT4G20260.2
F4JUT9	AT4G20260.5
F4JUT9	AT4G20260.6
F4JUT9	AT4G20260.10
F4JUT9	AT4G20260.4
F4JUT9	AT4G20260.7
F4JUT9	AT4G20260.8
F4JUT9	AT4G20260.9
F4JUY5	AT4G26420.1
F4JUY5	AT4G26420.2
F4JUY5	AT4G26420.2
F4JUY5	AT4G26420.3
F4JV54	AT4G32780.1
F4JV54	AT4G32780.2
F4JV54	AT4G32780.3
F4JVA6	AT4G39170.1
F4JVA6	AT4G39170.2
F4JVA7	AT4G39170.1
F4JVA7	AT4G39170.2
F4JVA8	AT4G39180.1
F4JVA8	AT4G39180.2
F4JVA8	AT4G39180.3
F4JVA9	AT4G39180.1
F4JVA9	AT4G39180.2
F4JVA9	AT4G39180.3
F4JVH0	AT4G14500.1
F4JVH0	AT4G14500.2
F4JW00	AT4G33240.1
F4JW00	AT4G33240.2
F4JW00	AT4G33240.3
F4JW00	AT4G33240.4
F4JW00	AT4G33240.5
F4JW00	AT4G33240.6
F4JW00	AT4G33240.7
F4JW01	AT4G33240.1
F4JW01	AT4G33240.2
F4JW01	AT4G33240.3
F4JW01	AT4G33240.4
F4JW01	AT4G33240.5
F4JW01	AT4G33240.6
F4JW01	AT4G33240.7
F4JWB0	AT5G04510.1
F4JWB0	AT5G04510.2
F4JWB0	AT5G04510.3
F4JWB3	AT5G04540.1
F4JWY1	AT5G41130.1
F4JWY1	AT5G41130.2
F4JWY1	AT5G41130.3
F4JX42	AT5G47340.1
F4JXT0	AT5G04980.1
F4JXT0	AT5G04980.2
F4JXT0	AT5G04980.1
F4JXT0	AT5G04980.3
F4JXT0	AT5G04980.4
F4JY30	AT5G18640.1
F4JY30	AT5G18640.2
F4JY30	AT5G18640.3
F4JY30	AT5G18640.4
F4JY30	AT5G18640.5
F4JYE0	AT5G35360.1
F4JYE0	AT5G35360.2
F4JYE0	AT5G35360.3
F4JYE1	AT5G35360.1
F4JYE1	AT5G35360.2
F4JYE1	AT5G35360.3
F4JYJ3	AT5G47510.1
F4JYJ3	AT5G47510.2
F4JYJ3	AT5G47510.3
F4JYJ3	AT5G47510.4
F4JYM8	AT5G47720.1
F4JYM8	AT5G47720.5
F4JYM8	AT5G47720.2
F4JYM8	AT5G47720.3
F4JYM8	AT5G47720.4
F4JYM8	AT5G47720.4
F4JYV3	AT5G54170.1
F4JZD5	AT5G11870.1
F4JZD5	AT5G11870.2
F4JZM3	AT5G19130.1
F4JZM3	AT5G19130.2
F4JZM4	AT5G19130.1
F4JZM4	AT5G19130.2
F4JZN6	AT5G19200.1
F4K083	AT5G48220.1
F4K083	AT5G48220.2
F4K083	AT5G48220.3
F4K083	AT5G48220.1
F4K083	AT5G48220.4
F4K0E8	AT5G60600.1
F4K0E8	AT5G60600.2
F4K0E8	AT5G60600.3
F4K0E8	AT5G60600.2
F4K0E8	AT5G60600.4
F4K0E8	AT5G60600.5
F4K0R2	AT5G05580.1
F4K0R2	AT5G05580.2
F4K148	AT5G19420.1
F4K148	AT5G19420.2
F4K148	AT5G19420.3
F4K149	AT5G19420.1
F4K149	AT5G19420.2
F4K149	AT5G19420.3
F4K280	AT5G67050.1
F4K2P2	AT5G19940.1
F4K2P2	AT5G19940.2
F4K347	AT5G42870.1
F4K347	AT5G42870.2
F4K347	AT5G42870.3
F4K3K4	AT5G61610.1
F4K480	AT5G20300.1
F4K480	AT5G20300.3
F4K480	AT5G20300.2
F4K480	AT5G20300.4
F4K480	AT5G20300.5
F4K4J2	AT5G42930.1
F4K4J2	AT5G42930.2
F4K4Q9	AT5G49070.1
F4K4Q9	AT5G49070.2
F4K5P3	AT5G27800.1
F4K5S5	AT5G28010.1
F4K5S5	AT5G28010.2
F4K5X6	AT5G37260.1
F4K6D3	AT5G56160.1
F4K6D3	AT5G56160.3
F4K6D3	AT5G56160.2
F4K6M0	AT5G07260.1
F4K6M0	AT5G07260.2
F4K6S3	AT5G14400.1
F4K6S3	AT5G14400.2
F4K6S3	AT5G14400.3
F4K6S3	AT5G14400.4
F4K817	AT5G07510.1
F4K817	AT5G07510.2
F4K817	AT5G07510.3
F4K823	AT5G07540.1
F4K823	AT5G07540.2
F4K829	AT5G07571.1
F4K829	AT5G07571.1
F4K836	AT5G07630.1
F4K836	AT5G07630.2
F4K895	AT5G14920.1
F4K895	AT5G14920.2
F4K8F7	AT5G22130.1
F4K8F7	AT5G22130.2
F4K8F7	AT5G22130.3
F4K8L2	AT5G37710.1
F4K8L2	AT5G37710.2
F4K8L6	AT5G37740.1
F4K8L6	AT5G37740.2
F4K8T6	AT5G44240.1
F4K8T6	AT5G44240.2
F4K975	AT5G63060.1
F4K975	AT5G63060.2
F4K9L2	AT5G08130.1
F4K9L2	AT5G08130.2
F4K9L2	AT5G08130.3
F4K9L2	AT5G08130.4
F4K9L2	AT5G08130.5
F4K9L2	AT5G08130.6
F4K9L2	AT5G08130.7
F4K9L2	AT5G08130.8
F4K9L3	AT5G08130.1
F4K9L3	AT5G08130.2
F4K9L3	AT5G08130.3
F4K9L3	AT5G08130.4
F4K9L3	AT5G08130.5
F4K9L3	AT5G08130.6
F4K9L3	AT5G08130.7
F4K9L3	AT5G08130.8
F4K9L4	AT5G08130.1
F4K9L4	AT5G08130.2
F4K9L4	AT5G08130.3
F4K9L4	AT5G08130.4
F4K9L4	AT5G08130.5
F4K9L4	AT5G08130.6
F4K9L4	AT5G08130.7
F4K9L4	AT5G08130.8
F4KAK5	AT5G57190.1
F4KAK5	AT5G57190.2
F4KBF3	AT5G23050.1
F4KBF3	AT5G23050.2
F4KC75	AT5G63990.1
F4KC75	AT5G63990.2
F4KCC2	AT5G02310.1
F4KCC2	AT5G02310.2
F4KCC2	AT5G02310.3
F4KCJ8	AT5G09300.1
F4KCJ8	AT5G09300.2
F4KCJ8	AT5G09300.3
F4KCJ8	AT5G09300.4
F4KE21	AT5G16390.1
F4KE21	AT5G16390.2
F4KE21	AT5G16390.2
F4KEB4	AT5G23840.1
F4KEB4	AT5G23840.2
F4KEB4	AT5G23840.1
F4KFB0	AT5G03406.1
F4KFC4	AT5G09820.1
F4KFC4	AT5G09820.2
F4KFC4	AT5G09820.3
F4KFQ9	AT5G24150.1
F4KFQ9	AT5G24150.2
F4KG44	AT5G52240.1
F4KG44	AT5G52240.2
F4KGH1	AT5G65020.1
F4KGH1	AT5G65020.2
F4KGI8	AT5G65110.1
F4KGI8	AT5G65110.2
F4KGW0	AT5G10480.1
F4KGW0	AT5G10480.2
F4KGW0	AT5G10480.3
F4KGX7	AT5G17230.1
F4KGX7	AT5G17230.2
F4KGX7	AT5G17230.3
F4KGX7	AT5G17230.4
F4KHF4	AT5G46290.1
F4KHF4	AT5G46290.2
F4KHF4	AT5G46290.3
F4KHJ7	AT5G46630.1
F4KHJ7	AT5G46630.2
F4KHQ8	AT5G58980.1
F4KIJ2	AT5G24810.1
F4KIJ2	AT5G24810.2
O04046	AT2G23800.1
O04083	AT1G11090.1
O04083	AT1G11090.1
O04197	AT2G39940.1
O04291	AT2G34710.1
O04292	AT1G30490.1
O04584	AT1G62190.1
O04652	AT5G27200.1
O04714	AT1G48270.1
O04714	AT1G48270.2
O04719	AT5G57050.1
O04719	AT5G57050.2
O04719	AT5G57050.3
O04928	AT1G62430.1
O04983	AT5G35360.1
O04983	AT5G35360.2
O04983	AT5G35360.3
O22043	AT1G49530.1
O22133	AT2G45400.3
O22133	AT2G45400.4
O22133	AT2G45400.2
O22133	AT2G45400.1
O22184	AT2G23230.1
O22184	AT2G23230.1
O22184	AT2G23230.2
O22199	AT2G40850.1
O22216	AT2G41540.1
O22216	AT2G41540.3
O22216	AT2G41540.2
O22216	AT2G41540.4
O22248	AT2G47630.1
O22248	AT2G47630.2
O22248	AT2G47630.3
O22476	AT4G39400.1
O22527	AT1G19670.1
O22718	AT1G60810.1
O22718	AT1G60810.2
O22765	AT4G02610.1
O22783	AT2G33320.1
O22788	AT2G33380.1
O22788	AT2G33380.2
O22832	AT2G43710.1
O22832	AT2G43710.2
O22898	AT2G47240.1
O22898	AT2G47240.2
O22898	AT2G47240.4
O22898	AT2G47240.3
O22918	AT2G30220.1
O22927	AT2G30310.1
O22941	AT2G41790.1
O22975	AT4G24160.1
O22975	AT4G24160.2
O23006	AT2G17120.1
O23066	AT4G00360.1
O23078	AT4G00240.1
O23078	AT4G00240.2
O23078	AT4G00240.3
O23140	AT5G46630.1
O23140	AT5G46630.2
O23179	AT4G37070.1
O23179	AT4G37070.2
O23179	AT4G37070.3
O23179	AT4G37070.4
O23179	AT4G37070.1
O23179	AT4G37070.3
O23180	AT4G37060.1
O23180	AT4G37060.2
O23181	AT4G37050.1
O23239	AT4G36410.1
O23346	AT4G14910.1
O23346	AT4G14910.2
O23346	AT4G14910.3
O23346	AT4G14910.2
O23365	AT4G15110.1
O23390	AT4G15370.1
O23390	AT4G15370.2
O23404	AT4G15530.1
O23404	AT4G15530.3
O23404	AT4G15530.2
O23404	AT4G15530.4
O23404	AT4G15530.5
O23404	AT4G15530.6
O23404	AT4G15530.7
O23425	AT4G15740.1
O23469	AT4G16220.1
O23469	AT4G16220.1
O23470	AT4G16230.1
O23470	AT4G16230.1
O23522	AT4G16820.1
O23596	AT4G17550.1
O23624	AT5G24860.1
O23624	AT5G24860.2
O23624	AT5G24860.3
O23651	AT4G15870.1
O23680	AT1G02280.1
O23680	AT1G02280.2
O24456	AT1G18080.1
O24457	AT1G01090.1
O48646	AT4G11600.1
O48709	AT2G26420.1
O48709	AT2G26420.2
O48709	AT2G26420.3
O48723	AT2G26560.1
O48780	AT2G26640.1
O48782	AT2G26670.1
O48782	AT2G26670.2
O48786	AT2G26710.1
O48916	AT2G34770.1
O48917	AT4G33030.1
O49339	AT2G30740.1
O49339	AT2G30740.10
O49339	AT2G30740.11
O49339	AT2G30740.12
O49339	AT2G30740.13
O49339	AT2G30740.14
O49339	AT2G30740.15
O49339	AT2G30740.2
O49339	AT2G30740.3
O49339	AT2G30740.4
O49339	AT2G30740.5
O49339	AT2G30740.6
O49339	AT2G30740.7
O49339	AT2G30740.8
O49339	AT2G30740.9
O49354	AT2G30920.1
O49354	AT2G30920.2
O49435	AT4G20080.1
O49505	AT4G18350.1
O49523	AT4G18550.1
O49523	AT4G18550.2
O49523	AT4G18550.3
O49561	AT4G21200.1
O49561	AT4G21200.2
O49561	AT4G21200.3
O49617	AT4G35110.1
O49617	AT4G35110.2
O49617	AT4G35110.3
O49617	AT4G35110.4
O49617	AT4G35110.1
O49617	AT4G35110.2
O49617	AT4G35110.5
O49617	AT4G35110.6
O49623	AT5G64000.1
O49623	AT5G64000.2
O49629	AT4G22240.1
O49639	AT4G22340.1
O49639	AT4G22340.3
O49639	AT4G22340.2
O49644	AT4G22630.1
O49644	AT4G22630.2
O49675	AT4G19170.1
O49782	AT1G18570.1
O64399	AT5G60890.1
O64468	AT2G19050.1
O64468	AT2G19050.2
O64469	AT2G19060.1
O64492	AT1G04150.1
O64527	AT1G79260.1
O64527	AT1G79260.2
O64645	AT2G45660.1
O64645	AT2G45660.2
O64688	AT2G34590.1
O64692	AT2G34555.1
O64697	AT2G34500.1
O64698	AT2G34490.1
O64728	AT2G02480.1
O64728	AT2G02480.2
O64761	AT2G34980.1
O64792	AT1G61280.1
O64792	AT1G61280.2
O64864	AT2G44290.1
O64886	AT2G44520.1
O64989	AT3G50660.1
O64989	AT3G50660.2
O65201	AT5G65110.1
O65201	AT5G65110.2
O65202	AT4G16760.1
O65202	AT4G16760.1
O65202	AT4G16760.2
O65378	AT1G12010.1
O65390	AT1G11910.1
O65390	AT1G11910.2
O65402	AT5G24160.1
O65402	AT5G24160.2
O65402	AT5G24160.3
O65403	AT5G24140.1
O65404	AT5G24150.1
O65404	AT5G24150.2
O65434	AT4G20200.1
O65435	AT4G20210.1
O65572	AT3G63520.1
O65677	AT4G34510.1
O65709	AT4G19380.1
O65709	AT4G19380.2
O65797	AT1G06080.1
O65797	AT1G06080.2
O65921	AT2G19010.1
O65921	AT2G19010.1
O65921	AT2G19010.2
O80437	AT2G38110.1
O80443	AT2G38180.1
O80448	AT2G38230.1
O80458	AT2G23410.1
O80470	AT2G23540.1
O80482	AT1G09250.1
O80505	AT2G44660.1
O80505	AT2G44660.1
O80522	AT1G09390.1
O80526	AT1G09430.1
O80536	AT1G09530.1
O80536	AT1G09530.2
O80536	AT1G09530.3
O80536	AT1G09530.4
O80536	AT1G09530.5
O80536	AT1G09530.6
O80560	AT2G43900.1
O80560	AT2G43900.2
O80560	AT2G43900.1
O80568	AT2G43980.1
O80594	AT1G10030.1
O80601	AT1G10095.1
O80601	AT1G10095.2
O80601	AT1G10095.3
O80601	AT1G10095.4
O80627	AT2G39400.1
O80627	AT2G39400.2
O80641	AT2G39540.1
O80642	AT2G39550.1
O80658	AT1G77240.1
O80685	AT2G40990.1
O80800	AT1G65290.1
O80823	AT2G45970.1
O80829	AT2G45900.1
O80829	AT2G45900.1
O80829	AT2G45900.2
O80829	AT2G45900.3
O80837	AT2G45820.1
O80840	AT2G45790.1
O80866	AT2G31020.1
O80866	AT2G31020.1
O80925	AT2G37550.1
O80925	AT2G37550.2
O80931	AT2G37630.1
O80932	AT2G37640.1
O80932	AT2G37640.2
O80944	AT2G37760.1
O80944	AT2G37760.3
O80944	AT2G37760.2
O80944	AT2G37760.4
O80944	AT2G37760.5
O80944	AT2G37760.6
O80944	AT2G37760.7
O80959	AT2G39220.1
O80988	AT2G26080.1
O81000	AT2G22830.1
O81006	AT2G22890.1
O81014	AT2G26930.1
O81020	AT2G26870.1
O81024	AT2G26830.1
O81027	AT2G26800.1
O81027	AT2G26800.2
O81027	AT2G26800.3
O81027	AT2G26800.4
O81027	AT2G26800.5
O81208	AT5G02120.1
O81270	AT4G26740.1
O81283	AT4G02510.1
O81283	AT4G02510.2
O81283	AT4G02510.3
O81283	AT4G02510.4
O81304	AT4G00030.1
O81439	AT4G04020.1
O81445	AT4G17615.1
O81445	AT4G17615.2
O81445	AT4G17615.3
O81445	AT4G17615.4
O81445	AT4G17615.5
O81770	AT4G31780.1
O81770	AT4G31780.2
O81770	AT4G31780.1
O81770	AT4G31780.3
O81851	AT4G19700.1
O81872	AT4G33550.1
O81872	AT4G33550.2
O81893	AT4G33770.1
O81893	AT4G33770.2
O81893	AT4G33770.3
O82244	AT2G47760.1
O82244	AT2G47760.2
O82244	AT2G47760.3
O82244	AT2G47760.1
O82244	AT2G47760.4
O82244	AT2G47760.5
O82291	AT2G35490.1
O82302	AT2G35350.1
O82328	AT2G14900.1
O82330	AT2G14920.1
O82359	AT2G46090.1
O82567	AT1G13560.1
O82567	AT1G13560.2
O82567	AT1G13560.3
O82568	AT3G25585.1
O82568	AT3G25585.4
O82568	AT3G25585.3
O82568	AT3G25585.2
O82568	AT3G25585.5
O82568	AT3G25585.6
O82730	AT5G20410.1
O82794	AT4G24540.1
P04778	AT1G29930.1
P0C2G3	AT1G30925.1
P0C2G3	AT1G30925.1
P0C2G3	AT1G30925
P0C7R2	AT1G47578.1
P0C8Y0	AT1G78955.1
P0C8Y0	AT1G78955.2
P0C8Y0	AT1G78955.3
P0C8Y0	AT1G78955.4
P0C8Y0	AT1G78955.5
P0C8Z7	AT1G28640.1
P0C8Z7	AT1G28640.1
P0CJ42	AT4G16730.1
P0CJ42	AT4G16730.1
P0CJ42	AT4G16730.2
P0CZ23	AT1G06290.1
P0CZ24	AT3G06690.1
P0DI09	AT1G18020.1
P0DI77	AT3G25830.1
P0DI77	AT3G25830
P0DI77	AT3G25830.1
P0DKB8	AT1G25054.1
P0DKB8	AT1G25054.1
P0DKB8	AT1G25054
P0DKB9	AT1G25145.1
P0DKB9	AT1G25145.1
P0DKB9	AT1G25145
P0DKC6	AT5G50700.1
P0DKC6	AT5G50700
P0DKC6	AT5G50700.1
P14891	AT1G76490.1
P14891	AT1G76490
P18064	AT2G26300.1
P18064	AT2G26300.2
P25701	AT1G54580.1
P25818	AT2G36830.1
P25858	AT3G04120.1
P27521	AT3G47470.1
P27900	AT3G27920.1
P29525	AT4G25140.1
P33207	AT1G24360.1
P34047	AT3G22425.1
P34047	AT3G22425.2
P34790	AT4G38740.1
P34795	AT5G42740.1
P34795	AT5G42740.2
P34795	AT5G42740.3
P36397	AT2G47170.1
P36397	AT2G47170.2
P36397	AT2G47170.3
P37271	AT5G17230.1
P37271	AT5G17230.2
P37271	AT5G17230.3
P37271	AT5G17230.4
P38418	AT3G45140.1
P38418	AT3G45140.2
P38605	AT2G07050.1
P38605	AT2G07050.2
P40602	AT1G20130.1
P40602	AT1G20130.2
P42339	AT1G60490.1
P42735	AT4G19070.1
P42735	AT4G19070.2
P42753	AT4G34160.1
P42801	AT4G39800.1
P43256	AT2G17370.1
P46086	AT5G27450.1
P46086	AT5G27450.2
P46086	AT5G27450.3
P46310	AT3G11170.1
P46312	AT4G30950.1
P46313	AT3G12120.1
P46313	AT3G12120.2
P46607	AT1G79840.1
P46607	AT1G79840.2
P46607	AT1G79840.3
P46607	AT1G79840.4
P46607	AT1G79840.5
P46607	AT1G79840.6
P46687	AT4G09600.1
P46688	AT4G09610.1
P46690	AT5G15230.1
P46690	AT5G15230.2
P47925	AT2G20870.1
P48347	AT1G22300.1
P48347	AT1G22300.2
P48347	AT1G22300.3
P48422	AT5G58860.1
P48622	AT5G05580.1
P48622	AT5G05580.2
P48623	AT2G29980.1
P48623	AT2G29980.2
P48731	AT4G32980.1
P48731	AT4G32980.2
P49243	AT1G62640.1
P49243	AT1G62640.2
P49333	AT1G66340.1
P49597	AT4G26080.1
P52032	AT2G25080.1
P52410	AT5G46290.1
P52410	AT5G46290.2
P52410	AT5G46290.3
P52839	AT2G03760.1
P52901	AT1G59900.1
P52901	AT1G59900.2
P53665	AT2G44620.1
P53799	AT4G34640.1
P53799	AT4G34640.2
P54873	AT4G11820.1
P54873	AT4G11820.2
P54873	AT4G11820.3
P56765	ATCG00500.1
P56765	ATCG00500
P56765	ATCG00500.1
P57681	AT5G63910.1
P57752	AT1G31812.1
P58766	AT5G25370.1
P58766	AT5G25370.2
P58766	AT5G25370.3
P58766	AT5G25370.4
P59229	AT1G75630.1
P59229	AT1G75630.2
P69834	AT2G02500.1
P69834	AT2G02500.2
P92958	AT3G29160.1
P92958	AT3G29160.2
P92958	AT3G29160.3
P92973	AT2G46830.1
P92973	AT2G46830.2
P92973	AT2G46830.3
P93046	AT3G44990.1
P93316	AT2G07719.1
P93316	ATMG00610.1
P93733	AT2G42010.1
P93733	AT2G42010.2
P93751	AT2G41940.1
P94017	AT1G14910.1
P94017	AT1G14910.2
P98204	AT5G04930.1
P98205	AT5G44240.1
P98205	AT5G44240.2
Q00958	AT5G61850.1
Q00958	AT5G61850.2
Q01525	AT1G78300.1
Q06327	AT1G55020.1
Q06588	AT1G05010.1
Q07356	AT4G14210.1
Q07356	AT4G14210.2
Q07356	AT4G14210.2
Q07356	AT4G14210.3
Q08891	AT3G11980.1
Q09152	AT5G47770.1
Q0IGM7	AT4G39070.1
Q0PGJ6	AT2G37770.1
Q0PGJ6	AT2G37770.2
Q0V7V3	AT2G45150.1
Q0V7V3	AT2G45150.2
Q0V7V3	AT2G45150.3
Q0V7V3	AT2G45150.3
Q0V7V3	AT2G45150.1
Q0V7V3	AT2G45150.2
Q0V7V3	AT2G45150
Q0WMZ6	AT3G56600.1
Q0WMZ6	AT3G56600.2
Q0WMZ6	AT3G56600.1
Q0WMZ6	AT3G56600.3
Q0WNG6	AT3G18220.1
Q0WPI9	AT3G53100.1
Q0WPK3	AT3G56440.1
Q0WPK3	AT3G56440.2
Q0WPK3	AT3G56440.3
Q0WPX9	AT5G09350.1
Q0WQ41	AT2G32010.1
Q0WQ41	AT2G32010.2
Q0WQ41	AT2G32010.3
Q0WQ41	AT2G32010.4
Q0WQ61	AT1G05790.1
Q0WQ61	AT1G05790.3
Q0WQ61	AT1G05790.2
Q0WQ61	AT1G05790.4
Q0WQB8	AT5G41130.1
Q0WQB8	AT5G41130.2
Q0WQB8	AT5G41130.3
Q0WQF7	AT3G52200.1
Q0WQF7	AT3G52200.2
Q0WQK2	AT3G26935.1
Q0WRB0	AT3G44550.1
Q0WRB0	AT3G44550.2
Q0WRJ2	AT3G06060.1
Q0WRJ2	AT3G06060.2
Q0WRY5	AT5G02800.1
Q0WSH6	AT4G14850.1
Q0WT19	AT2G37440.1
Q0WT19	AT2G37440.2
Q0WT19	AT2G37440.3
Q0WT61	AT2G39435.1
Q0WT61	AT2G39435.2
Q0WT61	AT2G39435.3
Q0WT61	AT2G39435.4
Q0WT61	AT2G39435.5
Q0WT61	AT2G39435.6
Q0WT61	AT2G39440.1
Q0WT61	AT2G39440.1
Q0WT61	AT2G39440.2
Q0WUA3	AT1G60600.1
Q0WUA3	AT1G60600.2
Q0WUB4	AT5G11380.1
Q0WUB4	AT5G11380.2
Q0WUB4	AT5G11380.3
Q0WUB4	AT5G11380.4
Q0WUG6	AT5G19660.1
Q0WUG6	AT5G19660.2
Q0WUG6	AT5G19660.3
Q0WUR5	AT4G33240.1
Q0WUR5	AT4G33240.2
Q0WUR5	AT4G33240.3
Q0WUR5	AT4G33240.4
Q0WUR5	AT4G33240.5
Q0WUR5	AT4G33240.6
Q0WUR5	AT4G33240.7
Q0WUV7	AT1G75910.1
Q0WV01	AT4G38560.1
Q0WV01	AT4G38560.2
Q0WV12	AT4G00730.1
Q0WV12	AT4G00730.2
Q0WVA1	AT2G32640.1
Q0WVA1	AT2G32640.2
Q0WVR4	AT3G45880.1
Q0WVR4	AT3G45880.2
Q0WWQ1	AT5G61500.1
Q0WWQ1	AT5G61500.2
Q15KI9	AT1G68890.1
Q15KI9	AT1G68890.2
Q17TI5	AT1G31880.1
Q17TI5	AT1G31880.2
Q1ACB3	AT3G11945.1
Q1ACB3	AT3G11945.2
Q1EBV7	AT2G26900.1
Q1EC69	AT4G22756.1
Q1G1A4	AT3G45130.1
Q1G1A4	AT3G45130.2
Q1G1A4	AT3G45130.3
Q1G1A4	AT3G45130.4
Q1G1A4	AT3G45130.5
Q1G2Y4	AT1G10588.1
Q1G2Y4	AT1G10588.2
Q1G2Y4	AT1G10588.2
Q1G361	AT1G10588.1
Q1G361	AT1G10588.2
Q1G361	AT1G10588.2
Q1G3I0	AT4G22666.1
Q1G3I0	AT4G22666.2
Q1G3I0	AT4G22666.1
Q1G3L2	AT4G01883.1
Q1G3L2	AT4G01883.2
Q1G3L2	AT4G01883.3
Q1H583	AT1G54000.1
Q1PDH3	AT5G59330.1
Q1PDI2	AT5G57690.1
Q1PDZ0	AT5G07510.1
Q1PDZ0	AT5G07510.2
Q1PDZ0	AT5G07510.3
Q1PE48	AT4G26770.1
Q1PE48	AT4G26770.1
Q1PEI6	AT3G44560.1
Q1PEI6	AT3G44560.2
Q1PEI6	AT3G44560.3
Q1PET6	AT3G02410.1
Q1PET6	AT3G02410.2
Q1PET6	AT3G02410.3
Q1PET6	AT3G02410.2
Q1PFD8	AT1G73560.1
